connect_time,disconnect_time,energy,station_id,charging_duration,total_duration,z_score,energy_per_quarter
2018-10-09 13:30:00,2018-10-09 21:15:00,15.132,1-1-178-817,300,465,0.377009914779988,0.7566
2018-10-09 13:30:00,2018-10-09 22:45:00,8.189,1-1-179-788,165,555,0.539941179677155,0.744454545454545
2018-10-09 13:45:00,2018-10-10 00:45:00,10.655,1-1-179-797,225,660,0.132407359918424,0.710333333333333
2018-10-09 13:45:00,2018-10-09 22:45:00,17.408,1-1-178-824,315,540,0.478893369719671,0.828952380952381
2018-10-09 13:45:00,2018-10-09 18:45:00,11.624,1-1-194-822,225,300,0.132407359918424,0.774933333333333
2018-10-09 13:45:00,2018-10-09 23:45:00,12.253,1-1-194-818,285,600,0.275126459840306,0.644894736842105
2018-10-09 14:00:00,2018-10-09 22:30:00,10.727,1-1-179-799,165,510,0.539941179677155,0.975181818181818
2018-10-09 14:00:00,2018-10-09 23:30:00,7.287,1-1-179-781,570,570,2.21091210369427,0.191763157894737
2018-10-09 14:00:00,2018-10-10 00:00:00,17.433,1-1-191-780,330,600,0.580776824659353,0.792409090909091
2018-10-09 14:15:00,2018-10-09 23:45:00,8.985,1-1-179-809,180,570,0.438057724737472,0.74875
2018-10-09 14:15:00,2018-10-10 03:00:00,14.015,1-1-179-810,135,765,0.74370808955652,1.55722222222222
2018-10-09 14:15:00,2018-10-10 00:30:00,6.135,1-1-179-791,120,615,0.845591544496202,0.766875
2018-10-09 14:30:00,2018-10-09 23:45:00,4.951,1-1-179-777,105,555,0.947474999435885,0.707285714285714
2018-10-09 14:30:00,2018-10-09 23:30:00,17.394,1-1-179-796,240,540,0.0305239049787419,1.087125
2018-10-09 14:30:00,2018-10-09 19:30:00,17.381,1-1-179-783,300,300,0.377009914779988,0.86905
2018-10-09 14:30:00,2018-10-10 02:00:00,13.748,1-1-179-813,300,690,0.377009914779988,0.6874
2018-10-09 14:45:00,2018-10-09 23:45:00,17.941,1-1-179-794,495,540,1.70149482899586,0.543666666666667
2018-10-09 14:45:00,2018-10-10 00:15:00,10.832,1-1-179-815,180,570,0.438057724737472,0.902666666666667
2018-10-09 14:45:00,2018-10-09 22:30:00,7.454,1-1-179-798,120,465,0.845591544496202,0.93175
2018-10-09 14:45:00,2018-10-09 21:45:00,18.95,1-1-179-787,180,420,0.438057724737472,1.57916666666667
2018-10-09 14:45:00,2018-10-10 02:00:00,27.687,1-1-191-795,300,675,0.377009914779988,1.38435
2018-10-09 14:45:00,2018-10-10 00:45:00,12.474,1-1-179-801,360,600,0.784543734538718,0.51975
2018-10-09 14:45:00,2018-10-10 01:00:00,10.074,1-1-179-790,450,615,1.39584446417681,0.3358
2018-10-09 14:45:00,2018-10-10 00:00:00,2.775,1-1-191-785,90,555,1.04935845437557,0.4625
2018-10-09 14:45:00,2018-10-10 00:15:00,23.915,1-1-179-779,270,570,0.173243004900623,1.32861111111111
2018-10-09 14:45:00,2018-10-10 00:45:00,6.152,1-1-179-800,240,600,0.0305239049787419,0.3845
2018-10-09 15:00:00,2018-10-09 22:30:00,5.641,1-1-191-805,135,450,0.74370808955652,0.626777777777778
2018-10-09 15:00:00,2018-10-09 22:30:00,2.156,1-1-191-782,60,450,1.25312536425493,0.539
2018-10-09 15:00:00,2018-10-10 01:00:00,17.399,1-1-191-804,570,600,2.21091210369427,0.457868421052632
2018-10-09 15:00:00,2018-10-10 00:45:00,7.857,1-1-191-778,165,585,0.539941179677155,0.714272727272727
