connect_time,disconnect_time,energy,station_id,charging_duration,total_duration,z_score,energy_per_quarter
2018-04-26 01:15:00,2018-04-26 11:30:00,1.02,2-39-78-367,480,615,1.45604874832334,0.031875
2018-04-26 01:45:00,2018-04-26 04:00:00,5.023,2-39-139-28,45,135,0.653559715636295,1.67433333333333
2018-04-26 01:45:00,2018-04-26 04:00:00,8.693,2-39-127-19,90,135,0.435324357295644,1.44883333333333
2018-04-26 01:45:00,2018-04-26 03:45:00,4.915,2-39-138-29,60,120,0.580814596189411,1.22875
2018-04-26 02:15:00,2018-04-26 04:30:00,13.892,2-39-123-23,135,135,0.217088998954992,1.54355555555556
2018-04-26 02:30:00,2018-04-26 04:45:00,11.891,2-39-95-27,120,135,0.289834118401876,1.486375
2018-04-26 02:45:00,2018-04-26 04:30:00,6.956,2-39-91-437,75,105,0.508069476742527,1.3912
2018-04-26 03:00:00,2018-04-26 03:30:00,2.568,2-39-128-18,30,30,0.726304835083179,1.284
2018-04-26 03:15:00,2018-04-26 16:45:00,6.503,2-39-79-378,135,810,0.217088998954992,0.722555555555555
2018-04-26 03:30:00,2018-04-26 05:30:00,2.272,2-39-125-559,75,120,0.508069476742527,0.4544
2018-04-26 06:15:00,2018-04-26 14:15:00,13.926,2-39-139-28,480,480,1.45604874832334,0.4351875
2018-04-26 11:30:00,2018-04-26 12:45:00,4.632,2-39-78-364,75,75,0.508069476742527,0.9264
2018-04-26 13:30:00,2018-04-27 01:15:00,12.138,2-39-95-27,210,705,0.146636598279428,0.867
2018-04-26 14:00:00,2018-04-26 23:15:00,7.108,2-39-79-380,540,555,1.74702922611087,0.197444444444444
2018-04-26 14:45:00,2018-04-27 01:00:00,13.155,2-39-139-28,570,615,1.89251946500464,0.346184210526316
2018-04-26 15:00:00,2018-04-26 23:45:00,7.186,2-39-79-376,75,525,0.508069476742527,1.4372
2018-04-26 15:00:00,2018-04-27 00:15:00,2.354,2-39-79-381,60,555,0.580814596189411,0.5885
2018-04-26 15:00:00,2018-04-26 23:15:00,13.413,2-39-88-438,135,495,0.217088998954992,1.49033333333333
