station_id,connect_time,disconnect_time,total_duration,charging_duration,energy,energy_per_quarter,z_score
COMM VITALITY / BOULDER JCTN,2021-12-14 14:15:00,2021-12-14 16:15:00,120,105,13.224,1.88914285714286,0.137123863795332
BOULDER / N BOULDER REC 1,2021-12-14 15:15:00,2021-12-14 16:15:00,75,75,7.851,1.5702,0.474967071015621
COMM VITALITY / 1104 SPRUCE1,2021-12-12 11:45:00,2021-12-12 13:30:00,90,90,10.121,1.68683333333333,0.306045467405477
COMM VITALITY / 1000WALNUT1,2021-12-06 18:45:00,2021-12-06 22:00:00,195,75,7.498,1.4996,0.474967071015621
BOULDER / BOULDER PARK S1,2021-12-06 22:45:00,2021-12-07 00:30:00,105,105,8.594,1.22771428571429,0.137123863795332
COMM VITALITY / 1100WALNUT1,2021-12-05 11:00:00,2021-12-05 12:30:00,75,75,4.564,0.9128,0.474967071015621
COMM VITALITY / 1000WALNUT1,2021-12-12 11:45:00,2021-12-12 15:45:00,240,150,14.994,1.4994,0.369640947035101
COMM VITALITY / 1104 SPRUCE1,2021-12-12 12:00:00,2021-12-12 13:45:00,105,105,11.281,1.61157142857143,0.137123863795332
BOULDER / REC CENTER ST2,2021-12-05 12:00:00,2021-12-05 13:00:00,75,75,7.294,1.4588,0.474967071015621
COMM VITALITY / 1500PEARL1,2021-12-12 12:00:00,2021-12-12 13:00:00,60,60,5.982,1.4955,0.643888674625765
COMM VITALITY / 1000WALNUT1,2021-12-13 14:45:00,2021-12-13 16:15:00,90,90,4.552,0.758666666666667,0.306045467405477
COMM VITALITY / 1500PEARL1,2021-12-13 15:30:00,2021-12-13 17:00:00,75,75,8.313,1.6626,0.474967071015621
BOULDER / FACILITIES ST1,2021-12-13 15:30:00,2021-12-14 16:15:00,1470,90,8.732,1.45533333333333,0.306045467405477
BOULDER / N BOULDER REC 1,2021-12-13 16:15:00,2021-12-13 18:45:00,150,60,2.768,0.692,0.643888674625765
BOULDER / ATRIUM ST1,2021-12-13 16:15:00,2021-12-13 16:15:00,15,15,0.85,0.85,1.1506534854562
BOULDER / N BOULDER REC 1,2021-12-13 16:30:00,2021-12-13 17:30:00,45,45,2.765,0.921666666666667,0.81281027823591
COMM VITALITY / 1000WALNUT1,2021-12-13 18:00:00,2021-12-13 21:15:00,195,195,20.175,1.55192307692308,0.876405757865533
COMM VITALITY / 1100WALNUT1,2021-12-13 18:00:00,2021-12-13 19:00:00,45,45,2.825,0.941666666666667,0.81281027823591
BOULDER / BOULDER PARK S2,2021-12-14 01:15:00,2021-12-14 01:45:00,30,30,3.094,1.547,0.981731881846054
BOULDER / BOULDER PARK S1,2021-12-14 02:00:00,2021-12-14 03:00:00,60,60,5.636,1.409,0.643888674625765
COMM VITALITY / 1104 SPRUCE1,2021-12-14 08:00:00,2021-12-14 11:15:00,195,90,9.329,1.55483333333333,0.306045467405477
BOULDER / N BOULDER REC 1,2021-12-14 08:00:00,2021-12-14 10:00:00,120,120,6.052,0.7565,0.0317977398148119
BOULDER / REC CENTER ST2,2021-12-14 09:00:00,2021-12-14 10:15:00,75,75,4.31,0.862,0.474967071015621
BOULDER / BASELINE ST1,2021-12-14 09:15:00,2021-12-14 10:45:00,90,90,8.911,1.48516666666667,0.306045467405477
COMM VITALITY / 1000WALNUT1,2021-12-14 10:00:00,2021-12-14 14:15:00,270,105,10.45,1.49285714285714,0.137123863795332
BOULDER / N BOULDER REC 1,2021-12-14 10:00:00,2021-12-14 16:45:00,390,105,3.95,0.564285714285714,0.137123863795332
COMM VITALITY / 1104 SPRUCE1,2021-12-14 10:30:00,2021-12-14 16:45:00,390,225,11.292,0.7528,1.21424896508582
COMM VITALITY / 1500PEARL1,2021-12-14 11:30:00,2021-12-14 11:30:00,15,15,0.544,0.544,1.1506534854562
COMM VITALITY / 1500PEARL1,2021-12-14 11:45:00,2021-12-14 15:15:00,225,225,22.596,1.5064,1.21424896508582
BOULDER / N BOULDER REC 1,2021-12-14 11:45:00,2021-12-14 13:30:00,105,105,10.681,1.52585714285714,0.137123863795332
COMM VITALITY / 1100WALNUT1,2021-12-14 12:00:00,2021-12-14 13:30:00,90,90,4.61,0.768333333333333,0.306045467405477
BOULDER / FACILITIES ST1,2021-12-12 13:30:00,2021-12-12 14:00:00,15,15,2.205,2.205,1.1506534854562
COMM VITALITY / 1100WALNUT1,2021-12-12 13:45:00,2021-12-12 15:00:00,75,15,0.641,0.641,1.1506534854562
COMM VITALITY / 1500PEARL1,2021-12-12 14:00:00,2021-12-12 15:00:00,60,60,3.476,0.869,0.643888674625765
COMM VITALITY / 1100WALNUT1,2021-12-14 16:45:00,2021-12-14 18:15:00,105,105,9.672,1.38171428571429,0.137123863795332
COMM VITALITY / 1500PEARL2,2021-12-12 14:00:00,2021-12-12 15:00:00,60,60,3.182,0.7955,0.643888674625765
COMM VITALITY / 1500PEARL2,2021-12-05 12:00:00,2021-12-05 14:30:00,150,150,13.995,1.3995,0.369640947035101
COMM VITALITY / 1500PEARL1,2021-12-12 14:00:00,2021-12-12 15:00:00,60,60,3.674,0.9185,0.643888674625765
COMM VITALITY / 1500PEARL1,2021-12-05 12:15:00,2021-12-05 12:30:00,15,15,1.159,1.159,1.1506534854562
BOULDER / N BOULDER REC 1,2021-12-14 17:30:00,2021-12-14 18:15:00,45,45,4.188,1.396,0.81281027823591
BOULDER / BASELINE ST1,2021-12-12 15:00:00,2021-12-12 15:30:00,30,30,2.182,1.091,0.981731881846054
COMM VITALITY / 1500PEARL1,2021-12-05 12:30:00,2021-12-05 14:30:00,120,120,6.647,0.830875,0.0317977398148119
COMM VITALITY / 1000WALNUT1,2021-12-11 10:30:00,2021-12-11 11:30:00,60,60,6.209,1.55225,0.643888674625765
COMM VITALITY / 1000WALNUT2,2021-12-05 12:45:00,2021-12-05 14:45:00,120,120,11.699,1.462375,0.0317977398148119
BOULDER / REC CENTER ST1,2021-12-14 17:45:00,2021-12-14 18:15:00,15,15,1.702,1.702,1.1506534854562
COMM VITALITY / 1104 SPRUCE1,2021-12-07 08:00:00,2021-12-07 09:15:00,75,75,8.065,1.613,0.474967071015621
COMM VITALITY / 1000WALNUT1,2021-12-14 18:00:00,2021-12-14 19:30:00,90,90,8.3,1.38333333333333,0.306045467405477
BOULDER / N BOULDER REC 1,2021-12-12 15:45:00,2021-12-12 19:30:00,225,225,14.519,0.967933333333333,1.21424896508582
COMM VITALITY / 1100WALNUT1,2021-12-05 13:00:00,2021-12-05 15:45:00,165,105,8.265,1.18071428571429,0.137123863795332
BOULDER / N BOULDER REC 1,2021-12-07 08:45:00,2021-12-07 14:00:00,315,315,20.34,0.968571428571429,2.22777858674669
COMM VITALITY / 1500PEARL2,2021-12-11 10:30:00,2021-12-11 12:45:00,120,120,12.819,1.602375,0.0317977398148119
BOULDER / N BOULDER REC 1,2021-12-12 15:45:00,2021-12-12 17:30:00,105,105,5.655,0.807857142857143,0.137123863795332
BOULDER / BASELINE ST1,2021-12-05 13:15:00,2021-12-05 13:15:00,15,15,0.84,0.84,1.1506534854562
BOULDER / REC CENTER ST1,2021-12-07 09:00:00,2021-12-07 10:15:00,75,75,3.726,0.7452,0.474967071015621
COMM VITALITY / 1104 SPRUCE1,2021-12-11 11:15:00,2021-12-11 12:45:00,90,90,5.242,0.873666666666667,0.306045467405477
BOULDER / BASELINE ST1,2021-12-14 18:45:00,2021-12-14 19:45:00,60,60,4.089,1.02225,0.643888674625765
COMM VITALITY / 1000WALNUT2,2021-12-12 16:30:00,2021-12-12 20:45:00,270,150,13.867,1.3867,0.369640947035101
COMM VITALITY / 1000WALNUT1,2021-12-12 16:45:00,2021-12-12 19:00:00,135,135,13.707,1.523,0.200719343424956
COMM VITALITY / 1500PEARL1,2021-12-12 17:15:00,2021-12-12 18:45:00,90,90,9.241,1.54016666666667,0.306045467405477
